@relation features_processed

@attribute OutterAccess1 numeric
@attribute OutterAccess2 numeric
@attribute OutterAccess3 numeric
@attribute InnerAccess1 numeric
@attribute InnerAccess2 numeric
@attribute InnerAccess3 numeric
@attribute ConstantAccess1 numeric
@attribute ConstantAccess2 numeric
@attribute ConstantAccess3 numeric
@attribute OutterWrite1 numeric
@attribute OutterWrite2 numeric
@attribute OutterWrite3 numeric
@attribute InnerWrite1 numeric
@attribute InnerWrite2 numeric
@attribute InnerWrite3 numeric
@attribute BasicOp1 numeric
@attribute BasicOp2 numeric
@attribute BasicOp3 numeric
@attribute SinOp1 numeric
@attribute SinOp2 numeric
@attribute SinOp3 numeric
@attribute PowOp1 numeric
@attribute PowOp2 numeric
@attribute PowOp3 numeric
@attribute MinOp1 numeric
@attribute MinOp2 numeric
@attribute MinOp3 numeric
@attribute DataTo numeric
@attribute DataFrom numeric
@attribute Op numeric
@attribute CPUTime numeric
@attribute GPUTime numeric
@attribute GPUFaster {0,1}

@data
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,320,320,0,113530936,48080374,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,320,320,0,72475523,47885053,1
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,320,320,0,71669960,48103989,1
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,320,8,3,153822,17953031,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,320,8,3,177217,17662036,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,320,8,3,71323,17259884,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,320,8,3,94886,16952073,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,360,360,0,149473526,68711123,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,360,360,0,112056681,47974035,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,360,360,0,70127641,48181216,1
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,360,360,0,71584895,48391051,1
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,360,8,3,184830,17921408,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,360,8,3,189679,17816090,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,360,8,3,83969,17233199,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,360,8,3,90947,16990636,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,400,400,0,130955356,48372172,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,400,400,0,92403266,47973419,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,400,400,0,31768590,48131088,0
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,400,400,0,33015197,48084090,0
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,400,8,3,493270,18106914,0
